order_type,lead_bucket,orders,success_rate,avg_price
Авиабилеты,0d,65233,0.984517038922018,12022.394386276885
Авиабилеты,1-3d,155817,0.9791614522163821,12612.220046593118
Авиабилеты,15-30d,94834,0.9622709154944429,17757.44568403737
Авиабилеты,31+d,95366,0.9389719606568379,26107.165593607784
Авиабилеты,4-7d,109024,0.9756659084238333,13760.540871734664
Авиабилеты,8-14d,95063,0.9697779367366904,15429.724298623018
Отели,0d,60652,0.9545274681791203,7597.0028028754205
Отели,1-3d,28344,0.9593917583968389,11058.594482077335
Отели,15-30d,20101,0.9512462066563853,15850.431421322322
Отели,31+d,25199,0.9431723481090519,18315.377197507838
Отели,4-7d,19312,0.9613711681855841,12559.19014084507
Отели,8-14d,17940,0.961705685618729,14286.359643255295
